provincia,Poblacion,mes,Num,Total_cap
Murcia,1493898,11,11742,0.00785997437576059
Navarra,654214,1,0,0
Navarra,654214,2,21,3.20995882081398e-05
Navarra,654214,3,3506,0.00535910267893992
Navarra,654214,4,1688,0.00258019547120667
Navarra,654214,5,256,0.000391309265775419
Navarra,654214,6,155,0.000236925532012461
Navarra,654214,7,1403,0.00214455820266763
Navarra,654214,8,3677,0.00562048504006334
Navarra,654214,9,8597,0.0131409599916847
Navarra,654214,10,14995,0.0229206345324313
Navarra,654214,11,4695,0.00717655079224841
Ourense,307651,1,0,0
Ourense,307651,2,11,3.5754800081911e-05
Ourense,307651,3,1097,0.00356572869907785
Ourense,307651,4,623,0.0020250218591846
Ourense,307651,5,49,0.000159271382183058
Ourense,307651,6,2,6.50087274216564e-06
Ourense,307651,7,29,9.42626547614017e-05
Ourense,307651,8,508,0.00165122167651007
Ourense,307651,9,1274,0.00414105593675951
Ourense,307651,10,2731,0.00887694172942718
Ourense,307651,11,807,0.00262310215146383
Palencia,160980,1,0,0
Palencia,160980,2,2,1.24239035905081e-05
Palencia,160980,3,600,0.00372717107715244
Palencia,160980,4,386,0.00239781339296807
Palencia,160980,5,79,0.000490744191825071
Palencia,160980,6,33,0.000204994409243384
Palencia,160980,7,38,0.000236054168219655
Palencia,160980,8,423,0.00262765560939247
Palencia,160980,9,1491,0.00926202012672382
Palencia,160980,10,2931,0.0182072307118897
Palencia,160980,11,1844,0.0114548391104485
Pontevedra,942665,1,0,0
Pontevedra,942665,2,3,3.18246672996239e-06
Pontevedra,942665,3,1980,0.00210042804177518
Pontevedra,942665,4,583,0.000618459367856025
Pontevedra,942665,5,58,6.15276901126063e-05
Pontevedra,942665,6,18,1.90948003797744e-05
Pontevedra,942665,7,116,0.000123055380225213
Pontevedra,942665,8,850,0.000901698906822678
Pontevedra,942665,9,1864,0.00197737266154997
Pontevedra,942665,10,4827,0.00512058896850949
Pontevedra,942665,11,4764,0.00505375716718028
Salamanca,330119,1,0,0
Salamanca,330119,2,2,6.05842135714697e-06
Salamanca,330119,3,2204,0.00667638033557596
Salamanca,330119,4,883,0.00267479302918039
Salamanca,330119,5,123,0.000372592913464539
Salamanca,330119,6,75,0.000227190800893011
Salamanca,330119,7,83,0.000251424486321599
Salamanca,330119,8,1547,0.00468618891975318
Salamanca,330119,9,2778,0.00841514726507714
Salamanca,330119,10,5832,0.0176663566774406
Salamanca,330119,11,2358,0.00714287878007628
Santa Cruz de Tenerife,1032983,1,1,9.68070142490244e-07
Santa Cruz de Tenerife,1032983,2,25,2.42017535622561e-05
Santa Cruz de Tenerife,1032983,3,1226,0.00118685399469304
Santa Cruz de Tenerife,1032983,4,294,0.000284612621892132
Santa Cruz de Tenerife,1032983,5,65,6.29245592618659e-05
Santa Cruz de Tenerife,1032983,6,18,1.74252625648244e-05
Santa Cruz de Tenerife,1032983,7,88,8.51901725391415e-05
Santa Cruz de Tenerife,1032983,8,899,0.00087029505809873
Santa Cruz de Tenerife,1032983,9,1787,0.00172994134463007
Santa Cruz de Tenerife,1032983,10,2305,0.00223140167844001
Santa Cruz de Tenerife,1032983,11,1740,0.00168444204793303
Segovia,153129,1,0,0
Segovia,153129,2,7,4.57130915763833e-05
Segovia,153129,3,1920,0.0125384479752366
Segovia,153129,4,610,0.00398356940879912
Segovia,153129,5,56,0.000365704732611067
Segovia,153129,6,61,0.000398356940879912
Segovia,153129,7,55,0.000359174290957297
Segovia,153129,8,451,0.00294522918584984
Segovia,153129,9,1032,0.00673941578668965
Segovia,153129,10,1423,0.00929281847331335
Segovia,153129,11,795,0.00519170111474639
Sevilla,1942389,1,0,0
Sevilla,1942389,2,17,8.75210887211573e-06
Sevilla,1942389,3,1931,0.000994136601885616
Sevilla,1942389,4,543,0.000279552653974049
Sevilla,1942389,5,48,2.47118368153856e-05
Sevilla,1942389,6,25,1.28707483413467e-05
Sevilla,1942389,7,286,0.000147241361025006
Sevilla,1942389,8,2667,0.00137305143305486
Sevilla,1942389,9,8427,0.00433847185090113
Sevilla,1942389,10,24386,0.0125546427620832
Sevilla,1942389,11,13924,0.00716849199619644
Soria,88636,1,0,0
Soria,88636,2,5,5.64104878378988e-05
Soria,88636,3,989,0.0111579944943364
Soria,88636,4,376,0.00424206868540999
Soria,88636,5,63,0.000710772146757525
Soria,88636,6,65,0.000733336341892685
Soria,88636,7,137,0.00154564736675843
Soria,88636,8,391,0.00441130014892369
Soria,88636,9,484,0.00546053522270861
Soria,88636,10,806,0.00909337063946929
Soria,88636,11,823,0.00928516629811815
Tarragona,804664,1,1,1.24275473986658e-06
Tarragona,804664,2,10,1.24275473986658e-05
Tarragona,804664,3,1228,0.00152610282055616
